"","age","Fuel_Type","Kms_Driven","Transmission","Seller_Type","Owner"
"1",7,"Petrol",27000,"Manual","Dealer",0
"3",4,"Petrol",6900,"Manual","Dealer",0
"4",10,"Petrol",5200,"Manual","Dealer",0
"5",7,"Diesel",42450,"Manual","Dealer",0
"8",6,"Diesel",33429,"Manual","Dealer",0
"9",5,"Diesel",20273,"Manual","Dealer",0
"10",6,"Diesel",42367,"Manual","Dealer",0
"11",4,"Petrol",2135,"Manual","Dealer",0
"12",6,"Diesel",51000,"Manual","Dealer",0
"13",6,"Petrol",15000,"Automatic","Dealer",0
"14",6,"Petrol",26000,"Manual","Dealer",0
"15",12,"Petrol",77427,"Manual","Dealer",0
"16",5,"Diesel",43000,"Manual","Dealer",0
"18",5,"Diesel",43000,"Manual","Dealer",0
"19",11,"Petrol",41442,"Manual","Dealer",0
"20",5,"Petrol",25000,"Manual","Dealer",0
"21",4,"Petrol",2400,"Manual","Dealer",0
"22",10,"Petrol",50000,"Automatic","Dealer",0
"23",7,"Petrol",45280,"Manual","Dealer",0
"24",8,"Petrol",56879,"Manual","Dealer",0
"25",10,"Petrol",20000,"Manual","Dealer",0
"27",4,"Petrol",16200,"Manual","Individual",0
"28",11,"Petrol",44542,"Manual","Dealer",0
"29",6,"Diesel",45000,"Manual","Dealer",0
"30",9,"Diesel",51439,"Manual","Dealer",0
"31",10,"Petrol",54200,"Manual","Dealer",0
"32",7,"Diesel",39000,"Manual","Dealer",0
"33",7,"Diesel",45000,"Manual","Dealer",0
"34",7,"Diesel",45000,"Manual","Dealer",0
"35",6,"Petrol",48767,"Manual","Dealer",0
"37",5,"Petrol",10079,"Manual","Dealer",0
"39",5,"Petrol",24524,"Automatic","Dealer",0
"40",7,"Petrol",46706,"Manual","Dealer",0
"41",13,"Petrol",58000,"Manual","Dealer",0
"42",7,"Diesel",45780,"Manual","Dealer",0
"43",9,"Petrol",50000,"Manual","Dealer",0
"44",7,"Petrol",15000,"Automatic","Dealer",0
"46",15,"Petrol",65000,"Manual","Dealer",0
"47",6,"Petrol",25870,"Manual","Dealer",0
"48",4,"Petrol",37000,"Automatic","Dealer",0
"49",9,"Diesel",104707,"Automatic","Dealer",0
"50",6,"Diesel",40000,"Automatic","Dealer",0
"51",4,"Diesel",15000,"Automatic","Dealer",0
"52",8,"Diesel",135000,"Automatic","Individual",0
"53",16,"Petrol",90000,"Manual","Individual",0
"54",12,"Petrol",70000,"Automatic","Dealer",0
"55",6,"Petrol",40534,"Manual","Dealer",0
"57",7,"Petrol",39485,"Manual","Dealer",1
"58",7,"Diesel",41000,"Automatic","Dealer",0
"59",8,"Petrol",40001,"Manual","Dealer",0
"60",6,"Petrol",40588,"Manual","Dealer",0
"61",7,"Diesel",78000,"Automatic","Dealer",0
"64",7,"Diesel",45000,"Manual","Dealer",0
"65",4,"Petrol",11000,"Automatic","Dealer",0
"66",11,"Diesel",59000,"Manual","Dealer",0
"67",10,"Petrol",88000,"Manual","Dealer",0
"68",5,"Petrol",12000,"Manual","Dealer",0
"69",7,"Diesel",71000,"Manual","Dealer",0
"70",10,"Diesel",45000,"Manual","Dealer",0
"72",10,"Petrol",43000,"Manual","Dealer",0
"73",7,"Diesel",83000,"Manual","Dealer",0
"75",8,"Petrol",72000,"Manual","Dealer",0
"78",9,"Diesel",89000,"Automatic","Dealer",0
"79",5,"Diesel",23000,"Manual","Dealer",0
"80",6,"Diesel",40000,"Manual","Dealer",0
"81",4,"Diesel",15000,"Automatic","Dealer",0
"82",6,"Diesel",38000,"Manual","Dealer",0
"83",16,"Diesel",197176,"Manual","Dealer",0
"84",15,"Petrol",142000,"Automatic","Individual",3
"85",11,"Diesel",78000,"Manual","Dealer",0
"86",9,"Petrol",56000,"Manual","Dealer",0
"88",7,"Petrol",40000,"Manual","Dealer",0
"89",12,"Petrol",62000,"Manual","Dealer",0
"90",7,"Diesel",58242,"Manual","Dealer",0
"91",16,"Petrol",75000,"Manual","Dealer",0
"92",6,"Diesel",40000,"Automatic","Dealer",0
"93",13,"Petrol",89000,"Automatic","Dealer",0
"94",9,"Petrol",72000,"Manual","Dealer",0
"95",5,"Diesel",29000,"Automatic","Dealer",0
"96",4,"Petrol",8700,"Manual","Dealer",0
"99",5,"Petrol",3000,"Manual","Individual",0
"100",4,"Petrol",1400,"Manual","Individual",0
"101",4,"Petrol",4000,"Manual","Individual",0
"102",4,"Petrol",1200,"Manual","Individual",0
"103",4,"Petrol",4100,"Manual","Individual",0
"105",7,"Petrol",16500,"Manual","Individual",1
"106",8,"Petrol",15000,"Manual","Individual",0
"107",5,"Petrol",18000,"Manual","Individual",0
"108",4,"Petrol",11000,"Manual","Individual",0
"109",5,"Petrol",6000,"Manual","Individual",0
"111",7,"Petrol",7000,"Manual","Individual",0
"112",5,"Petrol",35000,"Manual","Individual",0
"113",6,"Petrol",17000,"Manual","Individual",0
"114",6,"Petrol",17500,"Manual","Individual",0
"115",8,"Petrol",33000,"Manual","Individual",0
"116",6,"Petrol",14000,"Manual","Individual",0
"118",8,"Petrol",5400,"Manual","Individual",0
"119",5,"Petrol",5700,"Manual","Individual",0
"120",10,"Petrol",6900,"Manual","Individual",0
"121",5,"Petrol",6000,"Manual","Individual",0
"122",8,"Petrol",46500,"Manual","Individual",0
"124",12,"Petrol",40000,"Manual","Individual",0
"125",4,"Petrol",1300,"Manual","Individual",0
"126",5,"Petrol",7000,"Manual","Individual",0
"128",4,"Petrol",5000,"Manual","Individual",0
"130",6,"Petrol",18000,"Manual","Individual",0
"131",4,"Petrol",3500,"Manual","Individual",0
"132",5,"Petrol",500,"Manual","Individual",0
"133",4,"Petrol",11800,"Manual","Individual",0
"134",6,"Petrol",5000,"Manual","Individual",0
"137",5,"Petrol",15000,"Manual","Individual",0
"138",6,"Petrol",16600,"Manual","Individual",0
"139",8,"Petrol",32000,"Manual","Individual",0
"142",5,"Petrol",25000,"Manual","Individual",0
"143",7,"Petrol",25000,"Manual","Individual",0
"144",9,"Petrol",19000,"Manual","Individual",0
"147",11,"Petrol",45000,"Manual","Individual",0
"148",5,"Petrol",24000,"Manual","Individual",0
"149",10,"Petrol",6000,"Manual","Individual",0
"150",5,"Petrol",31000,"Manual","Individual",0
"151",9,"Petrol",13000,"Manual","Individual",0
"152",8,"Petrol",45000,"Manual","Individual",0
"153",7,"Petrol",8000,"Manual","Individual",0
"154",4,"Petrol",4300,"Automatic","Individual",0
"155",4,"Petrol",15000,"Manual","Individual",0
"156",6,"Petrol",23000,"Manual","Individual",0
"157",4,"Petrol",8600,"Manual","Individual",0
"158",4,"Petrol",4000,"Automatic","Individual",0
"161",9,"Petrol",14500,"Manual","Individual",0
"162",11,"Petrol",27000,"Manual","Individual",0
"163",5,"Petrol",14000,"Manual","Individual",0
"164",5,"Petrol",500,"Automatic","Individual",0
"165",5,"Petrol",1000,"Manual","Individual",0
"167",8,"Petrol",12000,"Manual","Individual",0
"168",6,"Petrol",14000,"Manual","Individual",0
"169",9,"Petrol",5500,"Manual","Individual",0
"170",6,"Petrol",6700,"Manual","Individual",0
"171",7,"Petrol",13700,"Manual","Individual",0
"174",10,"Petrol",75000,"Manual","Individual",0
"175",10,"Petrol",30000,"Manual","Individual",0
"176",5,"Petrol",24000,"Automatic","Individual",0
"177",7,"Petrol",19000,"Automatic","Individual",0
"178",11,"Petrol",213000,"Manual","Individual",0
"179",9,"Petrol",60000,"Manual","Individual",0
"180",5,"Petrol",50000,"Manual","Individual",0
"181",8,"Petrol",30000,"Manual","Individual",0
"182",8,"Petrol",21000,"Manual","Individual",0
"183",13,"Petrol",26000,"Manual","Individual",1
"185",11,"Petrol",22000,"Automatic","Individual",0
"186",8,"Petrol",32000,"Manual","Individual",0
"187",8,"Petrol",18000,"Manual","Individual",0
"188",16,"Petrol",55000,"Manual","Individual",0
"189",13,"Petrol",60000,"Manual","Individual",0
"191",14,"Petrol",49000,"Manual","Individual",1
"192",8,"Petrol",24000,"Manual","Individual",1
"193",13,"Petrol",50000,"Manual","Individual",0
"194",6,"Petrol",35000,"Manual","Individual",0
"195",13,"Petrol",500000,"Automatic","Individual",0
"196",11,"Petrol",33000,"Manual","Individual",0
"197",10,"Petrol",35000,"Manual","Individual",1
"198",14,"Petrol",53000,"Manual","Individual",0
"199",15,"Petrol",92233,"Manual","Individual",0
"200",11,"Diesel",58000,"Manual","Dealer",1
"201",6,"Petrol",28200,"Manual","Dealer",0
"203",6,"Petrol",28282,"Manual","Dealer",0
"205",4,"Petrol",12479,"Manual","Dealer",0
"207",4,"Petrol",3435,"Manual","Dealer",0
"208",6,"Diesel",21125,"Manual","Dealer",0
"209",9,"Petrol",35775,"Manual","Dealer",0
"210",6,"Diesel",43535,"Manual","Dealer",0
"211",5,"Petrol",22671,"Manual","Dealer",0
"212",10,"Petrol",31604,"Manual","Dealer",0
"213",4,"Petrol",20114,"Manual","Dealer",0
"214",9,"Petrol",36100,"Manual","Dealer",0
"215",5,"Petrol",12500,"Manual","Dealer",0
"216",5,"Petrol",15000,"Manual","Dealer",0
"217",7,"Petrol",45078,"Manual","Dealer",0
"218",9,"Petrol",36000,"Manual","Dealer",0
"220",8,"Petrol",32000,"Automatic","Dealer",0
"222",6,"Diesel",61381,"Manual","Dealer",0
"224",10,"Petrol",22517,"Manual","Dealer",0
"225",6,"Petrol",24678,"Manual","Dealer",0
"226",10,"Petrol",57000,"Manual","Dealer",0
"228",9,"Diesel",52132,"Manual","Dealer",0
"229",8,"Diesel",45000,"Manual","Dealer",0
"231",6,"Petrol",12900,"Automatic","Dealer",0
"233",6,"Petrol",4492,"Manual","Dealer",0
"234",4,"Petrol",15141,"Manual","Dealer",0
"235",5,"Petrol",11849,"Manual","Dealer",0
"236",6,"Diesel",68000,"Manual","Dealer",0
"237",8,"Petrol",60241,"Manual","Dealer",0
