"","Present_Price","age","Fuel_Type","Kms_Driven","Transmission","Seller_Type","Owner"
"1",5.59,7,"Petrol",27000,"Manual","Dealer",0
"3",9.85,4,"Petrol",6900,"Manual","Dealer",0
"4",4.15,10,"Petrol",5200,"Manual","Dealer",0
"5",6.87,7,"Diesel",42450,"Manual","Dealer",0
"8",8.61,6,"Diesel",33429,"Manual","Dealer",0
"9",8.89,5,"Diesel",20273,"Manual","Dealer",0
"10",8.92,6,"Diesel",42367,"Manual","Dealer",0
"11",3.6,4,"Petrol",2135,"Manual","Dealer",0
"12",10.38,6,"Diesel",51000,"Manual","Dealer",0
"13",9.94,6,"Petrol",15000,"Automatic","Dealer",0
"14",7.71,6,"Petrol",26000,"Manual","Dealer",0
"15",7.21,12,"Petrol",77427,"Manual","Dealer",0
"16",10.79,5,"Diesel",43000,"Manual","Dealer",0
"18",10.79,5,"Diesel",43000,"Manual","Dealer",0
"19",7.98,11,"Petrol",41442,"Manual","Dealer",0
"20",3.95,5,"Petrol",25000,"Manual","Dealer",0
"21",5.71,4,"Petrol",2400,"Manual","Dealer",0
"22",8.01,10,"Petrol",50000,"Automatic","Dealer",0
"23",3.46,7,"Petrol",45280,"Manual","Dealer",0
"24",4.41,8,"Petrol",56879,"Manual","Dealer",0
"25",4.99,10,"Petrol",20000,"Manual","Dealer",0
"27",6.49,4,"Petrol",16200,"Manual","Individual",0
"28",3.95,11,"Petrol",44542,"Manual","Dealer",0
"29",10.38,6,"Diesel",45000,"Manual","Dealer",0
"30",5.98,9,"Diesel",51439,"Manual","Dealer",0
"31",4.89,10,"Petrol",54200,"Manual","Dealer",0
"32",7.49,7,"Diesel",39000,"Manual","Dealer",0
"33",9.95,7,"Diesel",45000,"Manual","Dealer",0
"34",8.06,7,"Diesel",45000,"Manual","Dealer",0
"35",7.2,6,"Petrol",48767,"Manual","Dealer",0
"37",3.76,5,"Petrol",10079,"Manual","Dealer",0
"39",7.87,5,"Petrol",24524,"Automatic","Dealer",0
"40",3.98,7,"Petrol",46706,"Manual","Dealer",0
"41",7.15,13,"Petrol",58000,"Manual","Dealer",0
"42",8.06,7,"Diesel",45780,"Manual","Dealer",0
"43",2.69,9,"Petrol",50000,"Manual","Dealer",0
"44",12.04,7,"Petrol",15000,"Automatic","Dealer",0
"46",4.15,15,"Petrol",65000,"Manual","Dealer",0
"47",7.71,6,"Petrol",25870,"Manual","Dealer",0
"48",9.29,4,"Petrol",37000,"Automatic","Dealer",0
"49",30.61,9,"Diesel",104707,"Automatic","Dealer",0
"50",30.61,6,"Diesel",40000,"Automatic","Dealer",0
"51",19.77,4,"Diesel",15000,"Automatic","Dealer",0
"52",30.61,8,"Diesel",135000,"Automatic","Individual",0
"53",10.21,16,"Petrol",90000,"Manual","Individual",0
"54",15.04,12,"Petrol",70000,"Automatic","Dealer",0
"55",7.27,6,"Petrol",40534,"Manual","Dealer",0
"57",6.8,7,"Petrol",39485,"Manual","Dealer",1
"58",35.96,7,"Diesel",41000,"Automatic","Dealer",0
"59",18.61,8,"Petrol",40001,"Manual","Dealer",0
"60",7.7,6,"Petrol",40588,"Manual","Dealer",0
"61",35.96,7,"Diesel",78000,"Automatic","Dealer",0
"64",6.95,7,"Diesel",45000,"Manual","Dealer",0
"65",23.15,4,"Petrol",11000,"Automatic","Dealer",0
"66",20.45,11,"Diesel",59000,"Manual","Dealer",0
"67",13.74,10,"Petrol",88000,"Manual","Dealer",0
"68",20.91,5,"Petrol",12000,"Manual","Dealer",0
"69",6.76,7,"Diesel",71000,"Manual","Dealer",0
"70",12.48,10,"Diesel",45000,"Manual","Dealer",0
"72",5.71,10,"Petrol",43000,"Manual","Dealer",0
"73",8.93,7,"Diesel",83000,"Manual","Dealer",0
"75",14.68,8,"Petrol",72000,"Manual","Dealer",0
"78",30.61,9,"Diesel",89000,"Automatic","Dealer",0
"79",14.89,5,"Diesel",23000,"Manual","Dealer",0
"80",7.85,6,"Diesel",40000,"Manual","Dealer",0
"81",25.39,4,"Diesel",15000,"Automatic","Dealer",0
"82",13.46,6,"Diesel",38000,"Manual","Dealer",0
"83",13.46,16,"Diesel",197176,"Manual","Dealer",0
"84",23.73,15,"Petrol",142000,"Automatic","Individual",3
"85",92.6,11,"Diesel",78000,"Manual","Dealer",0
"86",13.74,9,"Petrol",56000,"Manual","Dealer",0
"88",6.76,7,"Petrol",40000,"Manual","Dealer",0
"89",18.61,12,"Petrol",62000,"Manual","Dealer",0
"90",16.09,7,"Diesel",58242,"Manual","Dealer",0
"91",13.7,16,"Petrol",75000,"Manual","Dealer",0
"92",30.61,6,"Diesel",40000,"Automatic","Dealer",0
"93",22.78,13,"Petrol",89000,"Automatic","Dealer",0
"94",18.61,9,"Petrol",72000,"Manual","Dealer",0
"95",25.39,5,"Diesel",29000,"Automatic","Dealer",0
"96",18.64,4,"Petrol",8700,"Manual","Dealer",0
"99",1.9,5,"Petrol",3000,"Manual","Individual",0
"100",1.82,4,"Petrol",1400,"Manual","Individual",0
"101",1.78,4,"Petrol",4000,"Manual","Individual",0
"102",1.6,4,"Petrol",1200,"Manual","Individual",0
"103",1.47,4,"Petrol",4100,"Manual","Individual",0
"105",3.45,7,"Petrol",16500,"Manual","Individual",1
"106",1.5,8,"Petrol",15000,"Manual","Individual",0
"107",1.5,5,"Petrol",18000,"Manual","Individual",0
"108",1.47,4,"Petrol",11000,"Manual","Individual",0
"109",1.78,5,"Petrol",6000,"Manual","Individual",0
"111",2.4,7,"Petrol",7000,"Manual","Individual",0
"112",1.4,5,"Petrol",35000,"Manual","Individual",0
"113",1.47,6,"Petrol",17000,"Manual","Individual",0
"114",1.47,6,"Petrol",17500,"Manual","Individual",0
"115",1.47,8,"Petrol",33000,"Manual","Individual",0
"116",1.9,6,"Petrol",14000,"Manual","Individual",0
"118",1.9,8,"Petrol",5400,"Manual","Individual",0
"119",1.26,5,"Petrol",5700,"Manual","Individual",0
"120",1.5,10,"Petrol",6900,"Manual","Individual",0
"121",1.17,5,"Petrol",6000,"Manual","Individual",0
"122",1.47,8,"Petrol",46500,"Manual","Individual",0
"124",1.75,12,"Petrol",40000,"Manual","Individual",0
"125",0.95,4,"Petrol",1300,"Manual","Individual",0
"126",0.8,5,"Petrol",7000,"Manual","Individual",0
"128",0.84,4,"Petrol",5000,"Manual","Individual",0
"130",0.82,6,"Petrol",18000,"Manual","Individual",0
"131",0.95,4,"Petrol",3500,"Manual","Individual",0
"132",0.95,5,"Petrol",500,"Manual","Individual",0
"133",0.81,4,"Petrol",11800,"Manual","Individual",0
"134",0.74,6,"Petrol",5000,"Manual","Individual",0
"137",0.87,5,"Petrol",15000,"Manual","Individual",0
"138",0.95,6,"Petrol",16600,"Manual","Individual",0
"139",1.2,8,"Petrol",32000,"Manual","Individual",0
"142",0.84,5,"Petrol",25000,"Manual","Individual",0
"143",0.99,7,"Petrol",25000,"Manual","Individual",0
"144",0.81,9,"Petrol",19000,"Manual","Individual",0
"147",0.94,11,"Petrol",45000,"Manual","Individual",0
"148",0.94,5,"Petrol",24000,"Manual","Individual",0
"149",0.826,10,"Petrol",6000,"Manual","Individual",0
"150",0.55,5,"Petrol",31000,"Manual","Individual",0
"151",0.99,9,"Petrol",13000,"Manual","Individual",0
"152",0.99,8,"Petrol",45000,"Manual","Individual",0
"153",0.88,7,"Petrol",8000,"Manual","Individual",0
"154",0.51,4,"Petrol",4300,"Automatic","Individual",0
"155",0.52,4,"Petrol",15000,"Manual","Individual",0
"156",0.84,6,"Petrol",23000,"Manual","Individual",0
"157",0.54,4,"Petrol",8600,"Manual","Individual",0
"158",0.51,4,"Petrol",4000,"Automatic","Individual",0
"161",0.99,9,"Petrol",14500,"Manual","Individual",0
"162",0.95,11,"Petrol",27000,"Manual","Individual",0
"163",0.54,5,"Petrol",14000,"Manual","Individual",0
"164",0.54,5,"Petrol",500,"Automatic","Individual",0
"165",0.55,5,"Petrol",1000,"Manual","Individual",0
"167",0.73,8,"Petrol",12000,"Manual","Individual",0
"168",0.54,6,"Petrol",14000,"Manual","Individual",0
"169",0.83,9,"Petrol",5500,"Manual","Individual",0
"170",0.55,6,"Petrol",6700,"Manual","Individual",0
"171",0.64,7,"Petrol",13700,"Manual","Individual",0
"174",0.787,10,"Petrol",75000,"Manual","Individual",0
"175",1.05,10,"Petrol",30000,"Manual","Individual",0
"176",0.57,5,"Petrol",24000,"Automatic","Individual",0
"177",0.52,7,"Petrol",19000,"Automatic","Individual",0
"178",1.05,11,"Petrol",213000,"Manual","Individual",0
"179",0.51,9,"Petrol",60000,"Manual","Individual",0
"180",0.48,5,"Petrol",50000,"Manual","Individual",0
"181",0.58,8,"Petrol",30000,"Manual","Individual",0
"182",0.47,8,"Petrol",21000,"Manual","Individual",0
"183",0.75,13,"Petrol",26000,"Manual","Individual",1
"185",0.52,11,"Petrol",22000,"Automatic","Individual",0
"186",0.51,8,"Petrol",32000,"Manual","Individual",0
"187",0.57,8,"Petrol",18000,"Manual","Individual",0
"188",0.57,16,"Petrol",55000,"Manual","Individual",0
"189",0.75,13,"Petrol",60000,"Manual","Individual",0
"191",0.75,14,"Petrol",49000,"Manual","Individual",1
"192",0.65,8,"Petrol",24000,"Manual","Individual",1
"193",0.787,13,"Petrol",50000,"Manual","Individual",0
"194",0.32,6,"Petrol",35000,"Manual","Individual",0
"195",0.52,13,"Petrol",500000,"Automatic","Individual",0
"196",0.51,11,"Petrol",33000,"Manual","Individual",0
"197",0.57,10,"Petrol",35000,"Manual","Individual",1
"198",0.58,14,"Petrol",53000,"Manual","Individual",0
"199",0.75,15,"Petrol",92233,"Manual","Individual",0
